彼號嘿,hit-lō--heh
月台,gue̍h-tâi,gua̍t-tâi
危險,guî-hiám
正爿,tsiànn-pîng
開門,khui-mn̂g
落車,lo̍h-tshia
車廂,tshia-siunn
中央,tiong-ng
縫,phāng
縫lìn,phāng--lìn
吉安,kiat-an
攢好,tshuân-hó
終點站,tsiong-tiám-tsām
台東,tâi-tang
盤車,puânn-tshia
車次,tshia-tshù
經由,king-iû
山線,suann-suànn
往,óng
自強號,tsū-kiông-hō
後lâng苑,āu-lâng
裡海,uán-lí
線的,hái-suànn
旅,ê
客請,lú-kheh
開囉,khui--looh
上車,tsiūnn-tshia
斗六,táu-la̍k
二A,jī-a
糞埽,pùn-sò
擲無,tàn--bô
驗票矣,giām-phiò--ah
車票,tshia-phiò
落南,lo̍h-lâm
三B,sann-b
四B,sì-b
上北,tsiūnn-pak
車長,tshia-tiúnn
竹南,tik-lâm
進站口,tsìn-tsām-kháu
信用卡,sìn-iōng-khá
敬祝,kìng-tsiok
再會,tsài-huē
入站的,ji̍p-tsām--ê
Talúkuh號,ta-lú-kuh-hō
罰,hua̍t
車錢,tshia-tsînn
搬演,puann-ián
禁起來,kìm--khí-lâi
攝影,liap-iánn
以免,í-bián
違法,uî-huat
出口,tshut-kháu
廳,thiann
惠顧,huī-kòo
附加,hù-ka
詞類,sû-luī
訊息,sìn-sit
語詞,gí-sû
搭配,tah-phuè
教學,kàu-ha̍k
允言,ún-giân
大漢,tāi-hàn,tuā-hàn
技術,ki-su̍t
學院,ha̍k-īnn
資訊,tsu-sìn
工程系,kang-tîng-hē
助理,tsōo-lí
教授,kàu-siū
杰岳,kia̍t-ga̍k
拋荒,pha-hng
台文,tâi-bûn
工作室,kang-tsok-sik
負責人,hū-tsik-jîn
陳鄭,tân-tīnn
弘堯,hông-giâu
台語文,tâi-gí-bûn
工作者,kang-tsok-tsiá
柏中,pik-tiong
國立,kok-li̍p
清華,tshing-huâ
大學,tāi-ha̍k
物理系,bu̍t-lí-hē
摘,tiah-iàu
collocation,collocation
學習,ha̍k-si̍p
使用,sú-iōng
透過,thàu-kuè
語料,gí-liāu
互訊息,hōo-sìn-sit
mutual,mutual
information,information
相關度,siong-kuan-tōo,siang-kuan-tōo
correlation,correlation
統計,thóng-kè
產生,sán-sing
必要,pit-iàu
noise,noise
本文,pún-bûn
提出,thê-tshut,the̍h-tshut
利用,lī-iōng
進行,tsìn-hîng
篩選,thai-suán
自動,tsū-tōng
提掉,the̍h-tiāu
提升,thê-sing
品質,phín-tsit
幫贊,pang-tsān
實驗,si̍t-giām
顯示,hián-sī
動詞,tōng-sû
名詞,miâ-sû,hù-sû
VN詞,v-n
組比,sû-tsoo
容詞名,hîng-iông-sû
詞AN詞,miâ-sû
組會,a-n
當得,sû-tsoo
著較,ē-tàng
查詢,tshâ-sûn
倒爿,tò-pîng
揣出來,tshuē--tshut-lâi
參考,tsham-khó
價值,kè-ta̍t
進一步,tsìn-tsi̍t-pōo
空課,khang-khuè
關鍵詞,kuan-kiān-sû
語文,gí-bûn
語料庫,gí-liāu-khòo
搭,tah-phuè
詞,sû,ê
參佮,tsham-kah
照佮,tsiàu-kah
相佮,sann-kah
配搭,phuè-tah
等等,tíng-tíng
華語詞,huâ-gí-sû
對應,tuì-ìng
採用,tshái-iōng
語言,gí-giân
倉庫,tshng-khòo
人類,jîn-luī
樣本,iūnn-pún
了解,liáu-kái
二十,jī-tsa̍p
世紀,sè-kí,sè-kì
年代,nî-tāi
英文,ing-bûn
建立,kiàn-li̍p
華文,huâ-bûn
資料庫,tsu-liāu-khòo
起步,khí-pōo
晏,uànn
二十一,jī-tsa̍p-it
強勢,kiông-sè
重要性,tiōng-iàu-sìng
帶動,tài-tōng
相關,siong-kuan
研究,gián-kiù
宣示,suan-sī
學術界,ha̍k-su̍t-kài
地位,tē-uī
弱勢,jio̍k-sè
復興,ho̍k-hing
重要,tiōng-iàu
基礎,ki-tshóo
主導,tsú-tō
世界,sè-kài
科技,kho-ki
連結,liân-kiat
應用,ìng-iōng
針對,tsiam-tuì
詳細,siông-sè
探討,thàm-thó
預測,ī-tshik
方式,hong-sik
組合,tsoo-ha̍p
文本,bûn-pún
近,kīn
共同,kiōng-tông
出現,tshut-hiān
以上,í-siōng
學著,o̍h-tio̍h
慣用,kuàn-iōng
例,lē
訂,tīng
火車單,hué-tshia-tuann
付錢,hù-tsînn
車單,tshia-tuann
相仝,sio-kāng
其中,kî-tiong
同義詞,tông-gī-sû
換掉,uānn-tiāu
無一定,bô-it-tīng
存在,tsûn-tsāi
辭典,sû-tián
註明,tsù-bîng
加減,ke-kiám
阻礙,tsóo-gāi
台灣人,tâi-uân-lâng
硬記,ngē-kì
溝通,koo-thong
鬥出,tàu-tshut
掠做,lia̍h-tsò
英文句,ing-bûn-kù
英語,ing-gí
捎,sa
貓仔門,niau-á-mn̂g
寮仔門,liâu-á-mn̂g
錯誤,tshò-ngōo,tshò-gōo
包括,pau-kuah,pau-kuat
慣用語,kuàn-iōng-gí
部份,pōo-hūn
濟濟,tsē-tsē
學習者,ha̍k-si̍p-tsiá
外國人,guā-kok-lâng
華語,huâ-gí
自認為,tsū-līn-uî
離離落落,li-li-lak-lak
思考,su-khó
魚,hî
目前,bo̍k-tsîng
學界,ha̍k-kài
責任,tsik-jīm
科學,kho-ha̍k
角度,kak-tōo
現時,hiān-sî
通好,thang-hó
運用,ūn-iōng
資源,tsu-guân
密切,bi̍t-tshiat
公式,kong-sik
以下,í-hā
簡稱,kán-tshing
MI,mi
設使,siat-sú
寫做,siá-tsò
P,p
of,of
機率,ki-lu̍t
Frequency,frequency
所有,sóo-ū
N,n
word,word
tokens,tokens
等於,tíng-î
之,tsi,tsi-it
AB,ab
詞組,sû-tsoo
近倚,kīn-uá
負,hū
log,log
正數,tsiànn-sòo
接,tsiap
獨立,to̍k-li̍p
事件,sū-kiānn
乘,sîng
零,lîng
於,î
負數,hū-sòo
代表性,tāi-piáu-sìng
CR,cr
分做,hun-tsò
部分,pōo-hūn
頂面,tíng-bīn
計算,kè-sǹg
算出來,sǹg--tshut-lâi
數字,sòo-jī
做陣,tsò-tīn
甚至,sīm-tsì
十萬,tsa̍p-bān
注意的,tsù-ì--ê
拍字,phah-jī
錯字,tshò-jī
詞頻,sû-pîn
低,kē
分數,hun-sòo
避免,pī-bián
設,siat
限制,hān-tsè
頻率,pîn-lu̍t
數目,sòo-bo̍k
可比,khó-pí
品,phín-tsit
專家,tsuan-ka
專業,tsuan-gia̍p
智識,tì-sik
揣出來的,tshuē--tshut-lâi--ê
簡化,kán-huà
限定,hān-tiānn
相倚,sio-uá
實際,si̍t-tsè
修正,siu-tsìng
考慮入來,khó-lū--ji̍p-lâi
修改,siu-kái
總是,tsóng--sī
厚工,kāu-kang
計算量,kè-sǹg-liōng
改進,kái-tsìn
有限,iú-hān
取代,tshú-tāi
處理,tshú-lí
大量,tāi-liōng
特性,ti̍k-sìng
提供,thê-kiong
計算出來,kè-sǹg--tshut-lâi
作用,tsok-iōng
列出來,lia̍t--tshut-lâi
表現出來,piáu-hiān--tshut-lâi
列出來的,lia̍t--tshut-lâi--ê
意義,ì-gī
牽連,khan-liân
方向,hong-hiòng
做出來,tsò--tshut-lâi
介詞,kài-sû
at,at
指示,tsí-sī
代名詞,tāi-bîng-sû
that,that
冠詞,kuàn-sû
the,the
to,to
be,be
線索,suànn-soh
統計出來,thóng-kè--tshut-lâi
分類,hun-luī
天理,thian-lí
現代,hiān-tāi
閩南語,bân-lâm-gí
村上,tshuan-siōng
嘉英,ka-ing
編,pian
中華,tiong-huâ
研習所,gián-si̍p-sóo
台英,tâi-ing
Embree,embree
電子,tiān-tsú
只好,tsí-hó
以,í,í-āu
線頂,suànn-tíng
詞條,sû-tiâu
對譯,tuì-i̍k
中研院,tiong-gián-īnn
詞庫,sû-khòo
小組,sió-tsoo
八萬,peh-bān
目,ba̍k,ê
四十六,sì-tsa̍p-la̍k
細類,sè-luī
大類,tuā-luī
形容詞,hîng-iông-sû
副詞,hù-sû,miâ-sû
連接詞,liân-tsiap-sû
語氣詞,gí-khì-sû
感嘆詞,kám-thàn-sû
下面,ē-bīn
做法,tsò-huat
台華,tâi-huâ
來源,lâi-guân
台語文界,tâi-gí-bûn-kài
全羅,tsuân-lô
四十六萬,sì-tsa̍p-la̍k-bān
音節,im-tsiat
漢羅,hàn-lô
五百,gōo-pah
五十六萬,gōo-tsa̍p-la̍k-bān
八千,peh-tshing
五十七,gōo-tsa̍p-tshit
貢獻者,kòng-hiàn-tsiá
良偉,liông-uí
補充,póo-tshiong
六萬,la̍k-bān
兩千外,nn̄g-tshing-guā
欄位,nuâ-uī
斷詞,tn̄g-sû
漢羅的,hàn-lô--ê
比對,pí-tuì
backward,backward
maximal,maximal
matching,matching
BMM,bmm
演算法,ián-sǹg-huat,ián-suàn-huat
數量,sòo-liōng
四十三萬,sì-tsa̍p-sann-bān
九十九,káu-tsa̍p-káu
九十五,káu-tsa̍p-gōo
揣出,tshuē-tshut
含糊性,hâm-hôo-sìng
VH,vh
小類,sió-luī
狀態,tsōng-thài
不及物,put-ki̍p-bu̍t
述詞,su̍t-sû
浪漫,lōng-bān
豐富,hong-hù
心酸,sim-sng
感動,kám-tōng
改做,kái-tsò
D,d
資料量,tsu-liāu-liōng
AN形,a-n
詞VN動,miâ-sû
詞名,v-n,p-n
詞詞,tōng-sû
結,kiat-kó,kiat
Java,java
輸出,su-tshut
本節,pún-tsiat
表格,pió-keh
說明,suat-bîng,sueh-bîng
展示,tián-sī
表,pió
三千,sann-tshing
五千,gōo-tshing
待,thāi
統計表,thóng-kè-pió
至少,tsì-tsió
表一,pió-it
一致,it-tì
語料量,gí-liāu-liōng
可信度,khó-sìn-tōo
ANV,a-n
N詞,v-n
AN,a-n
VN,v-n
掠出來,lia̍h--tshut-lâi
雜訊,tsa̍p-sìn
人工,lâng-kang,jîn-kang
僫,oh
王梨,ông-lâi
ām瓜,ām-kue
自本,tsū-pún
旺梨,ōng-lâi
醃瓜,am-kue
系統,hē-thóng
切做,tshiat-tsò
切開的,tshiat--khui--ê
結合性,kiat-ha̍p-sìng
收錄,siu-lo̍k
建議,kiàn-gī
六十四,la̍k-tsa̍p-sì
揀出,kíng-tshut
VN的,v-n
組毋,sû-tsoo
過漢,m̄-koh
部,ê
分就,pōo-hūn
原因,guân-in
寫法,siá-huat
V舌,v-tsi̍h
小於,sió-î
列出,lia̍t--tshut-lâi
摃N,kòng-n
siánnmé,siánn-mé
查出來,tshâ--tshut-lâi
舉,kí
摃N查,kòng-n
詢,tshâ-sûn
原來,guân-lâi
按算的,àn-sǹg--ê
分析,hun-sik
用字,iōng-jī
錯誤的,tshò-ngōo--ê
內的,lāi--ê
無仝,bô-kâng,bô-kāng
專有名詞,tsuan-iú-miâ-sû
辨識,piān-sik
定量詞,tīng-liōng-sû
解決,kái-kuat
橐,lok,lop
翻譯,huan-i̍k
多,to
對譯詞,tuì-i̍k-sû
過程,kuè-tîng,kuè-thîng
長,tióng,tn̂g
詞類出來,sû-luī--tshut-lâi
造成,tsō-sîng
台語詞,tâi-gí-sû
確認,khak-jīn
正確,tsìng-khak
工程,kang-tîng
早慢,tsá-bān
有法度,ū-huat-tōo
值得,ta̍t-tit
組以,sû-tsoo
外閣,í-guā
整,koh
理其,tsíng-lí
他詞,kî-thann
組親,sû-tsoo
像PN介,tshin-tshiūnn
詞NV名,kài-sû
詞動,miâ-sû
詞DA,n-v
形容,tōng-sû
詞DV,d-a
動詞VR動,hîng-iông-sû
詞代,d-v
維護,î-hōo
單音節詞,tuann-im-tsiat-sû
訓練,hùn-liān
斷法,tn̄g-huat
文句,bûn-kù
提懸,thê-kuân
正確率,tsìng-khak-lu̍t
E,e
規劃,kui-uē
F,f
標記,piau-kì
分拆,hun-thiah
parsing,parsing
語法樹,gí-huat-tshiū
tree,tree
頁岩,ia̍h-gâm
石油,tsio̍h-iû
發展,huat-tián
OPEC,opec
起色,khí-sik
經濟,king-tsè
學人,ha̍k-jîn
週刊,tsiu-khan
抽,thiu
伐,hua̍h
因素,in-sòo
看來,khuànn--lâi
油價,iû-kè
長期,tn̂g-kî
維持,î-tshî
水準,tsuí-tsún
組織,tsoo-tsit
扞盤,huānn-puânn
優勢,iu-sè
不再,put-tsài
減產,kiám-sán
十一月,tsa̍p-it--gue̍h
國際,kok-tsè
輕本,khin-pún
重本,tāng-pún
頁岩油,ia̍h-gâm-iû,ia̍h-giâm-iû
逼出,pik-tshut
市場,tshī-tiûnn
衝擊,tshiong-kik
確實,khak-si̍t,khak-sı̍t
破產,phò-sán
產業,sán-gia̍p
想的,siūnn--ê
韌命,lūn-miā
所擺,sóo-pái
發達,huat-ta̍t
比論,pí-lūn
挖,óo,thau
井,tsénn
減少,kiám-tsió
產量,sán-liōng
六十五,la̍k-tsa̍p-gōo
三月,sann--gue̍h
低點,kē-tiám
西,se,sai
德州,tik-tsiu
中級,tiong-kip
原油,guân-iû
WTI,wti
桶,tháng
四十四,sì-tsa̍p-sì
左右,tsó-iū
大部分,tāi-pōo-hūn,tuā-pōo-hūn
引用,ín-iōng
顧問,kòo-būn
形成,hîng-sîng
頁岩帶,ia̍h-giâm-tài
四十五,sì-tsa̍p-gōo
之間,tsi-kan
範圍,huān-uî
業者,gia̍p-tsiá
增產,tsing-sán
時常,sî-siông
關鍵,kuan-kiān
角色,kak-sik
一向,it-hiòng
以來,í-lâi
壓低,ah-kē
成本,sîng-pún
空間,khong-kan
落尾,lo̍h-bué
二位數,jī-uī-sòo
常態,siông-thài
除非,tû-hui
爆發,po̍k-huat
重大,tiōng-tāi
衝突,tshiong-tu̍t
油田,iû-tshân
停止,thîng-tsí
供應,kiong-ìng
需求,su-kiû
衝,tshìng,tshiong
方面,hong-bīn
再生,tsài-sing
能源,lîng-guân
天然氣,thian-liân-khì
落價,lak-kè
時代,sî-tāi
面對,bīn-tuì
Islam,islam
國,kok
兩難,lióng-lân
過激派,kuè-kik-phài
IS,is
擴張,khok-tiong
五月,gōo-gue̍h
中,tiong,tiòng
占領,tsiàm-niá
Iraq,iraq
城市,siânn-tshī
Ramadi,ramadi
首都,siú-too
Baghdad,baghdad
公里,kong-lí
地面,tē-bīn
部隊,pōo-tuī
主張,tsú-tiunn
認為,jīn-uî,līn-uî
軍,kun
飼大,tshī-tuā
害著,hāi-tio̍h
本身,pún-sin
安全,an-tsuân
中東,tiong-tong,tiong-tang
在地,tsāi-tē
戰,tsiàn
外交,guā-kau
政策,tsìng-tshik
雜誌,tsa̍p-tsì
由,iû
學者,ha̍k-tsiá
Gordon,gordon
Adams,adams
Richard,richard
Sokolsky,sokolsky
看法,khuànn-huat
al,al
Qaeda,qaeda
前者,tsîng-tsiá
區域性,khu-hi̍k-sìng
caliphate,caliphate
全球,tsuân-kiû
發動,huat-tōng
恐怖,khióng-pòo
攻擊,kong-kik
威脅,ui-hia̍p
周圍,tsiu-uî
國土,kok-thóo
盟友,bîng-iú
比如,pí-lû
治理,tī-lí
貪腐,tham-hú
民族,bîn-tso̍k
教派,kàu-phài
時機,sî-ki
peh起來,peh--khí-lâi
負起,hū-khí
對抗,tuì-khòng
爛,nuā
靠,khò
救,kiù
大軍,tuā-kun
相戰,sio-tsiàn
實現,si̍t-hiān
宣傳,suan-thuân
Muslim,muslim
十字軍,si̍p-jī-kun
聖戰,sìng-tsiàn
刺激,tshì-kik
並且,pīng-tshiánn
軍人,kun-jîn
大使館,tāi-sài-kuán
本土,pún-thóo
國民,kok-bîn
嚴格,giâm-keh
條件,tiâu-kiānn
要求,iau-kiû
改革,kái-kik
極端,ki̍k-tuan
主義,tsú-gī
勾去,kau--khì
事實,sū-si̍t
Obama,obama
領導,líng-tō
批評,phue-phîng
社長,siā-tiúnn
David,david
Rothkopf,rothkopf
拄好,tú-hó
指出,kí-tshut,tsí-tshut
風險,hong-hiám
事態,sū-thài
保證,pó-tsìng
利益,lī-ik
拭尻川,tshit-kha-tshng
萬一,bān-it
Shiite,shiite
Iran,iran
分伻,pun-phenn
更加,kìng-ka
無底代,bô-tī-tāi
核子,hi̍k-tsú
捙拚,tshia-piànn
湠,thuànn
向,hiòng,ǹg
提早,thê-tsá
防範,hông-huān
危機,uî-ki,guî-ki
免錢的,bián-tsînn--ê
面冊,bīn-tsheh
各種,kok-tsióng
服務,ho̍k-bū
收集,siu-tsi̍p
掌握,tsiáng-ak
行為,hîng-uî
付出,hù-tshut
代價,tāi-kè
無要無緊,bô-iàu-bô-kín
Pew,pew
中心,tiong-sim
九十三,káu-tsa̍p-sann
美國人,bí-kok-lâng
重要的,tiōng-iàu--ê
好好,hó-hó
保守,pó-siú
祕密,pì-bi̍t
絕對,tsua̍t-tuì
網頁頂,bāng-ia̍h-tíng
刊,khan
廣告,kóng-kò
廠商,tshiúnn-siong
信心,sìn-sim
社交,siā-kau
媒體,muî-thé
Pennsylvania,pennsylvania
小可,sió-khuá
犧牲,hi-sing
隱私,ún-su
有理,ū-lí
九十一,káu-tsa̍p-it
受訪者,siū-hóng-tsiá
無理,bô-lí
主持,tsú-tshî
Joseph,joseph
Turow,turow
甘願,kam-guān
好處,hó-tshù
交出,kau-tshut
放棄,hòng-khì
控制,khòng-tsè
只有,tsí-ū
由在,iû-tsāi
使用者,sú-iōng-tsiá
怪物,kuài-bu̍t
Zeynep,zeynep
Tufekci,tufekci
投稿,tâu-kó
New,new
York,york
時報,sî-pò
主控權,tsú-khòng-khuân
免費,bián-huì
商業,siong-gia̍p
主頁,tsú-ia̍h
攪擾,kiáu-jiáu
互動,hōo-tōng
尤其,iû-kî
單純,tan-sûn
有效,ū-hāu
㧣,tu
追蹤,tui-tsong
Ethan,ethan
Zuckerman,zuckerman
平均,pîng-kin,pîng-kun
趁著,thàn-tio̍h
開放,khai-hòng
億,ik
用戶,iōng-hōo
付,hù
消費者,siau-huì-tsiá
毋但,m̄-nā
巨量,kī-liōng
智慧,tì-huī
驚人,kiann--lâng
主要的,tsú-iàu--ê
上傳,siōng-thuân
報導,pò-tō
研發,gián-huat
狗仔,káu-á
紀錄,kì-lo̍k
複雜,ho̍k-tsa̍p
恐驚,khióng-kiann
同性婚,tông-sìng-hun
合法化,ha̍p-huat-huà
澳洲,ò-tsiu
Ireland,ireland
公民,kong-bîn
投票,tâu-phiò
通過,thong-kuè
鼓勵,kóo-lē
全世界,tsuân-sè-kài
同性戀,tông-sìng-luân
人權,jîn-khuân,jîn-kuân,lîn-khuân
凡勢,huān-sè
變天,piàn-thinn
國會,kok-huē
預定,ī-tīng
年底,nî-té
支持,tsi-tshî
議員,gī-guân
觀望,kuan-bōng
聯盟,liân-bîng
總理,tsóng-lí
Tony,tony
Abbott,abbott
本人,pún-lâng
反對,huán-tuì
同性,tông-sìng
婚姻,hun-in
贊成,tsàn-sîng
自由黨,tsū-iû-tóng
只不過,tsí-put-kò
黨派,tóng-phài
良心票,liông-sim-phiò
修法,siu-huat
承認,sîng-jīn
在野,tsāi-iá
工黨,kang-tóng
綠黨,li̍k-tóng
同事,tông-sū
合法,ha̍p-huat
法案,huat-àn
六月初,la̍k-gue̍h-tshe
割稻仔尾,kuah-tiū-á-bué
拍歹,phah-pháinn
共識,kiōng-sik
政黨,tsìng-tóng
相爭,sio-tsenn,sio-tsinn
ABC,abc
撨出,tshiâu-tshut
跨,khuà
第四,tē-sì
黨,tóng
贏面,iânn-bīn
頂年,tíng-nî
七月,tshit--gue̍h,tshit-gue̍h
Crosby,crosby
Textor,textor
民調,bîn-tiàu
七十二,tshit-tsa̍p-jī
比例,pí-lē
議員咧,gī-guân--leh
英國,ing-kok
衛報,uē-pò
澳洲版,ò-tsiu-pán
訪問,hóng-būn
下議院,hā-gī-īnn
立場,li̍p-tiûnn
啥款,siánn-khuán
禮拜三,lé-pài-sann
公佈,kong-pòo
六十三,la̍k-tsa̍p-sann
四十,sì-tsa̍p
表態,piáu-thài
四十七,sì-tsa̍p-tshit
到時,kàu-sî
輸贏,su-iânn
歹講,pháinn-kóng
既然,kì-liân
改變,kái-piàn
BBC,bbc
驚惶,kiann-hiânn,tam-tng
基督教,ki-tok-kàu
團體,thuân-thé
副領袖,hù-líng-siù
Tanya,tanya
Plibersek,plibersek
天主,thian-tsú
教徒,kàu-tôo
結婚,kiat-hun
宣佈,suan-pòo
Canberra,canberra
Jensen,jensen
定義,tīng-gī
觸犯,tshiok-huān
上帝,siōng-tè
神聖,sîn-sìng
旨意,tsí-ì
無愛,bô-ài
插潲,tshap-siâu
定義咧,tīng-gī--leh
表決,piáu-kuat
議題,gī-tê
贊成派,tsàn-sîng-phài
輸,su
褪褲,thǹg-khòo
現在,hiān-tsāi
國內外,kok-lāi-guā
勢面,sè-bīn
來看,lâi-khuànn
八月,peh--gue̍h,peh-gue̍h
過關,kuè-kuan
教宗,kàu-tsong
左派,tsó-phài
領袖,líng-siù
Francis,francis
六月,la̍k-gue̍h,la̍k--gue̍h
發佈,huat-pòo
通諭,thong-jū,thong-lū
呼籲,hoo-io̍k
氣候,khì-hāu
變化,piàn-huà
追求,tui-kiû
短期,té-kî
私人,su-lîn
消費,siau-huì
評論者,phîng-lūn-tsiá
羅馬,lô-má
教廷,kàu-tîng
一粒一,it-lia̍p-it
資本,tsu-pún
批判者,phue-phuànn-tsiá
專欄,tsuan-nuâ
作家,tsok-ka
Giles,giles
Fraser,fraser
理解,lí-kái
國教,kok-kàu
教區,kàu-khu
牧師,bo̍k-su
失去,sit-khì
權威,khuân-ui
又閣,iū-koh
英文版,ing-bûn-pán
三萬,sann-bān
七千外,tshit-tshing-guā
摘要,tiah-iàu
慾望,io̍k-bōng
束縛,sok-pa̍k
滿足,buán-tsiok
差別,tsha-pia̍t
救命,kiù-miā
電動,tiān-tōng
𨑨迌物,tshit-thô-mi̍h
管,kuán
選擇,suán-ti̍k
公共,kong-kiōng
地球,tē-kiû
生態,sing-thài
過度,kuè-tōo
後果,hiō-kó
糞埽桶,pùn-sò-tháng
學家,ha̍k-ka
有限的,iú-hān--ê
主流,tsú-liû
假設,ká-siat
成長,sîng-tióng
無限,bû-hān
痟貪落去,siáu-tham--lo̍h-khì
撙節,tsún-tsat
唱名,tshiàng-miâ
信篤,sìn-táu
拒絕,kī-tsua̍t
想法,siūnn-huat
大力,tuā-la̍t
推捒,thui-sak,tshui-sak
一時仔,tsi̍t-sî-á
開銷,khai-siau
社論,siā-lūn
百,pah
氣魄,khì-phik
文件,bûn-kiānn
基督,ki-tok
地球頂,tē-kiû-tíng
共和黨,kiōng-hô-tóng
石油界,tsio̍h-iû-kài
頭人,thâu-lâng
倒彈,tò-tuānn
拖棚,thua-pênn
聯合國,liân-ha̍p-kok
談判,tâm-phuànn
發揮,huat-hui
影響力,íng-hióng-li̍k
期待,kî-thāi
飛行機,pue-lîng-ki,hue-lîng-ki,hui-hîng-ki,hui-lîng-ki
登機,ting-ki
班機,pan-ki
區,khu
頭等位,thâu-tíng-uī
坐位,tsē-uī
椅仔跤,í-á-kha
安全帶,an-tsuân-tuà
縖,hâ
等待,tán-thāi
起飛,khí-pue
紹介,siāu-kài
逃生門,tô-sing-mn̂g
sàngsòo罨,sàng-sòo-am
頭殼頂,thâu-khak-tíng
救生衣,kiù-sing-i
特殊,ti̍k-sû
狀況,tsōng-hóng
機長,ki-tiúnn
sàngsòo,sàng-sòo
落落來,lak--lo̍h-lâi
𤆬,tshuā
sàngsòo掩,sàng-sòo-om
確定,khak-tīng
吸,khip
sàngsòo才,sàng-sòo
囡,thè
仔掛,gín-á
不得已,put-tik-í
落飛,lo̍h-pue
海頂,hái-tíng
穿入去,tshīng--ji̍p-khì
鈕起來,liú--khí-lâi
歕風,pûn-hong
膨起來,phòng--khí-lâi
關掉,kuainn-tiāu
指示燈,tsí-sī-ting
剝開,pak--khui
保護,pó-hōo
亂流,luān-liû
東京,tang-kiann
延,tshiân
香港,hiong-káng
煞矣,suah--ah
阿火,a-hué
李,lí
阿水,a-tsuí
XZ,xz
登機門,ting-ki-mn̂g
關囉,kuainn--looh
師兄,su-hiann
師姊,su-tsé
辦理,pān-lí
手續,tshiú-sio̍k
出境,tshut-kíng
大廳,tuā-thiann
checkin需,check-in
要三,su-iàu
十分,sann-tsa̍p,tsa̍p-hun
鐘請,hun-tsing
家行,ta̍k-ke
李集,hîng-lí
中請,tsi̍p-tiong
專,tshiánn
人來,tsuan-lâng
辦辦咧,pān-pān--leh
護照,hōo-tsiàu,hōo-tsiò
登機證,ting-ki-tsìng
證件,tsìng-kiānn
托運,thok-ūn
海關,hái-kuan
候機室,hāu-ki-sik
免稅,bián-suè
商店,siong-tiàm
桃園,thô-hn̂g
照顧,tsiàu-kòo
別款,pa̍t-khuán
液體,i̍k-thé
倒掉,tó-tiāu
làitah刀,lài-tah
仔抑,to-á
是別,a̍h-sī
違,ê
禁品的請,uî-kìm-phín--ê
動擲,tsú-tōng
掉袂,tàn-tiāu
使紮,bē-sái
身,tī,ê
軀頂,sin-khu-tíng
冗,liōng
免稅街,bián-suè-ke
十五,tsa̍p-gōo
分鐘,hun-tsing
縖轉去,hâ--tńg-khì
長榮,tn̂g-îng
航空,hâng-khong
再,tsài
相會,siong-huē
氣溫,khì-un
二十七,jī-tsa̍p-tshit
度,tōo,ê
毛毛仔雨,mn̂g-mn̂g-á-hōo
旅途,lú-tôo
停車場,thîng-tshia-tiûnn
導遊,tō-iû
賴,luā
麗格,lē-keh
阿格,a-keh
機場,ki-tiûnn
員林,uân-lîm
到位,kàu-uī
落機,lo̍h-ki
空橋,khong-kiô
互相一下,hōo-siong--tsi̍t-ē
團,thuân
捾落來,kuānn--lo̍h-lâi
接機,tsiap-ki
跤步,kha-pōo
安排,an-pâi
行程,hîng-tîng
鬥相共,tàu-sann-kāng
劉生,lâu--senn
經驗,king-giām
資深,tsu-tshim
噗仔聲,pho̍k-á-siann
催lueh共,tshui--lueh
司,kā
機感,su-ki
謝一下,kám-siā--tsi̍t-ē
餐廳,tshan-thiann
三義,sam-gī
炕肉,khòng-bah
景緻,kíng-tì
酒店,tsiú-tiàm
飽無,pá--bô
合無,ha̍h--bô
吩咐,huan-hù
蹛的,tuà--ê
五星的,gōo-tshenn--ê
房間內,pâng-king-lāi
礦泉水,khòng-tsuânn-tsuí
茶米,tê-bí
咖啡,ka-pi
環保,khuân-pó
儉咧,khiām-leh
房號,pâng-hō
聯絡,liân-lo̍k
總機,tsóng-ki
morningcall,morning-call
中餐廳,tiong-tshan-thiann
房卡,pâng-khah
還,hâinn
等路,tán-lōo
親情五十,tshin-tsiânn-gōo-tsa̍p
王梨酥,ông-lâi-soo
綠豆膨,li̍k-tāu-phòng
試食,tshì-tsia̍h
拍損,phah-sńg
店員,tiàm-guân,tiàm-uân
包起來,pau--khí-lâi
箱仔,siunn-á
櫼,tsinn
行李箱,hîng-lí-siunn
食物,tsia̍h-mi̍h
準,tsún
自由,tsū-iû
參觀,tsham-kuan
叫車,kiò-tshia
尾仔,bué--á
緊呢,kín--neh
一目𥍉仔,tsi̍t-ba̍k-nih-á
結束矣,kiat-sok--ah
歡喜無,huann-hí--bô
做了,tsò-liáu
改善,kái-siān
優點,iu-tiám
車頂,tshia-tíng
齊著,tsiâu-tio̍h
車仔,tshia-á
la̋i,la̋i
最後,tsuè-āu
萬財,bān-tsâi
牡丹,bóo-tan
來矣喔,lâi--ah--ooh
阿美,a-bí,‘a-bí’
个乎,ê--honnh
仝梯,kāng-the
榮燦仔啦,îng-tshàn--á--lah
添丁,thiam-ting
富貴,hù-kuì
哎,aih
毋免啦,m̄-bián--lah
愛的啦,ài--ê--lah
作田人,tsoh-tshân-lâng
後遍乎,āu-piàn--honnh
大漢乎,tuā-hàn--honnh
城裡,siânn--lí
拜師,pài-su
學藝,ha̍k-gē
出脫無,tshut-thuat--bô
